,truth_int,fiction type ,film_condensed,reality_condensed,duration
0,0,,Zuckerberg out drinking with his GF.,Erica didn't exist.,105
1,3,,He claims to have scored 1600 on his SAT.,Zuckerberg did score a perfect 1600 on his test.,29
2,0,,He's obsessed with joining a Final Club.,Zuckerberg was obsessed with computers!,46
3,2,character development,Zuckerberg is being an ass. ,Zuckerberg had no social skills. ,19
4,0,character development,Erica breaks up with Zuck.,Zuckerberg was dating his current girlfriend throughout.,104
5,2,,Zuckerberg flees the bar,Zuckerberg lived at Kirkland House.,147
6,3,,Zuckeberg pens a nasty blogpost about Erica,Zuckerberg called Jessica Alona a bitch on his blog.,49
7,3,,Zuckeberg pens another nasty blogpost about Erica,That was exactly what he wrote. ,10
8,3,,Zuckerbergs has an ideas for a headshot comparison website.,Zuckerberg got the idea of a headshot comparison site from Kirkland Face Book.,23
9,3,,He starts hacking together FaceMash,Zuckerberg created Facemash without animals.,31
10,3,,Busload of college girls dressed ot party.,The 'fuck truck' ferried students to/from parties. ,16
11,3,,Zuck hacks Kirkland House's server.,Kirkland was an easy hack.,0
12,2,dramatic license,More girls.,"Book says buses shipped girls in, some deny this.",27
13,3,,Zuck hacks Eliot house.,Eliot was a pretty easy hack.,13
14,3,,The Phoenix Club looks hot.,The Phoenix Club was real.,20
15,3,,Zuck hacks the remaining Harvard houses.,Zuckerberg hacked most houses the first night.,54
16,0,character development,Zuckerberg bounces the FaceMash idea off his friend Saverin.,Saverin wasn't really in the picture at this stage.,53
17,0,character development,Saverin supplies an essential algorithm,"Saverin was business only, no tech. ",15
18,-1,,Saverin writes the algorithm on the wall,We couldn't find a source for this.,4
19,0,dramatic license,It's getting debauched down at the Pheonix Club,Final Club parties weren't that exciting. ,10
20,3,,Zuckerberg releases FaceMash,Zuckerberg mailed the site to a few people.,44
21,3,,Guys like Facemash. Girls don't.,Women's groups not impressed.,27
22,0,,Erica hears about the blogpost.,Erica was a fictional character.,22
23,3,,Facemash going viral.,"The site reached approx. 450 students in 4 hours, logging 22,000 votes.",21
24,0,dramatic license,Harvard IT chief woken in the middle of the night.,Such a crash was technically unlikely. ,35
25,0,dramatic license,Network goes down. ,Zuckerberg shut it down himself.,33
26,0,character development,Erica gives testimony against Zuckerberg.,There wasn't an Erica.,42
27,3,,Legal team are impressed with the number of hits.,The site got that many hits.,15
28,3,,Winklewoss twins rowing.,The twins trained constantly.,43
29,3,,Winklewoss team want Zuckerberg for their site.,"Winklewoss twins & Narendra wanted Zuckerberg for their site, HarvardConnection.",47
30,3,,Winklewoss team are suing Zuckerberg.,The Harvard Connections team did sue Zuckerberg. ,12
31,3,,Zuckerberg facing a disciplinary hearing.,Zuckerberg faced the ad board.,23
32,3,,Zuckerberg wants recognitions for exposing Harvard's security holes.,He asserted that his breach did them a favour.,33
33,1,,Network guy defends his network.,Network guys were at the hearing.,23
34,0,dramatic license,Zuckerberg given 6 months academic probation.,Not in the book.,28
35,0,character development,Zuckerberg insulted in class.,This wasn't in the book. ,46
36,2,,Winklevoss accost Zuckerberg.,The twins emailed Zuckerberg.,42
37,2,,The twins taken him to the Porcelian club.,The twins met Narendra in the bike room.,9
38,3,,"We hear about Zuckerberg's other projects, like Coursematch.",Zuckerberg gave coursematch away for free.,46
39,3,,Winklevosses pitch their idea: HarvardConnection.,Zuckerberg agreed to help.,73
40,3,,Zuckerberg admits pitching the idea of Facebook to Saverin at a party.,Zuckerberg presented his idea to Saverin in a restaurant.,47
41,2,,Saverin was punched by the Phoenix Club.,Saverin was punched by the Phoenix Club.,92
42,3,,Zuckerberg pitches Facebook idea to Saverin.,"TheFacebook would be exclusive, like Final Clubs.",51
43,-1,,Saverin recounts being pitched Facebook.,"Deposition has remained private, with other a few details leaked online.",25
44,0,story coherence,"Saverin wonders why Zuck didn't go to Moskovitz, the coder.",Moskovitz found code challenging.,6
45,3,,Zuckeberg says they will need startup money.,Zuckerberg asked Saverin for $1k to start things up.,5
46,3,,Saverin claims Zuck wanted him because of his money.,Zuckerberg did ask Saverin for money. ,3
47,3,,Zuckerberg offers Saverin 30%.,Zuckerberg offered Saverin 30%.,7
48,3,,Saverin agrees to 30% of Facebook.,He thought those terms were reasonable. ,6
49,0,character development,Zuck says the Phoenix Club want him for diversity reasons.,Not in the book.,9
50,0,character development,Suggested that jealousy made Zuck wanted to screw Saverin over.,Saverin didn't think Zuckerberg had planned to screw him over.,25
51,-1,character development,Saverin walks away amicably.,Not in the book.,13
52,-1,,Saverin gives testimony about Zuck's knowledge of the WInklevoss twins.,We couldn't find a source for this.,57
53,3,,Zuck accused of pretending to work for Team Winklevoss while creating Facebook.,Zuckerberg did work on Facebook while supposedly working on HarvardConnection.,11
54,3,,Zuckerberg creates Facebook while fobbing off the twins.,Zuckerberg continuously put off meetings.,48
55,3,,Saverin gets into the Phoenix Club.,Saverin did get into the Phoenix Club.,31
56,2,,Saverin visits Zuck in his dorm.,Facebook was started from Zuckerberg's dorm.,40
57,3,,Zuckerberg continues to blow off Team Winklevoss.,Zuckerberg continuously put off meetings.,27
58,3,,Saverin answers questions about the John Harvard statue.,The statue formed part of the club admission test.,41
59,3,,Zuckerberg registers the domain TheFacebook.com,11th Jan 2004 Zuckerberg registered TheFacebook domain name. ,20
60,2,,Zuckerberg seems not to have done anything on HarvardConnection.,Difficult to know exactly what Zuckerberg had done on HarvardConnection.,8
61,3,,Team Winklevoss receive an skeptical email about he site from Zuck.,Zuckerberg finally told them didn't think it could be a success.,18
62,0,"character development, story coherence",Winklevoss accuse Zuckerberg of stealing their code.,Not in the book.,41
63,2,,"Zuck has a eureka moment over ""relationship status""",Zuckerberg enthused by a last-minute idea. ,51
64,3,,Zuc runs back to the dorm.,Saverin was waiting for him.,15
65,3,,Zuckerberg relates the idea to Saverin.,This was the site's finishing touch.,48
66,0,character development ,Zuckerberg adds Saverin's name to the masthead.,Only Zuckerberg's name was on the masthead.,14
